"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 949;2025-10-10;Shopify EUR 86.12;;;990,38;;0,00
;A 785;2025-10-17;Shopify EUR inbetalning 418.35 EUR;;;;4 811,03;-4 811,03
;A 950;2025-10-17;Shopify EUR 418.35;;;4 811,03;;0,00
;A 787;2025-10-24;Shopify EUR inbetalning 154.12 EUR;;;;1 772,38;-1 772,38
;A 951;2025-10-24;Shopify EUR 154.12;;;1 772,38;;0,00
;A 797;2025-11-07;Shopify EUR inbetalning 371.75 EUR;;;;4 275,13;-4 275,13
;A 952;2025-11-07;Shopify EUR 371.75;;;4 275,13;;0,00
;A 798;2025-11-14;Shopify EUR inbetalning 86.37 EUR;;;;993,32;-993,32
;A 953;2025-11-14;Shopify EUR 86.37;;;993,32;;0,00
;A 801;2025-11-21;Shopify EUR inbetalning 1398.29 EUR;;;;16 080,33;-16 080,33
;A 954;2025-11-21;Shopify EUR 1398.29;;;16 080,33;;0,00
;A 810;2025-11-28;Shopify EUR inbetalning 2199.39 EUR;;;;25 292,99;-25 292,99
;A 902;2025-11-28;Shopify Sales Wise inbetalning;;;;39 934,97;-65 227,96
;A 955;2025-11-28;Shopify EUR 2199.39;;;25 292,99;;-39 934,97
;A 1011;2025-11-28;Shopify Sale for Wise payout;;;39 934,97;;0,00
;A 815;2025-12-05;Shopify EUR inbetalning 573.75 EUR;;;;6 598,13;-6 598,13
;A 956;2025-12-05;Shopify EUR 573.75;;;6 598,13;;0,00
;A 821;2025-12-12;Shopify EUR inbetalning 58.31 EUR;;;;670,55;-670,55
;A 957;2025-12-12;Shopify EUR 58.31;;;670,55;;0,00
;A 836;2025-12-29;Shopify EUR inbetalning 86.77 EUR;;;;997,85;-997,85
;A 958;2025-12-29;Shopify EUR 86.77;;;997,85;;0,00
;;;"""Utgående saldo:""";;0,00;103 610,19;103 610,19;0,00
;;;;;;;;
1630 Avräkning för skatter och avgifter (skattekonto);;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 166;2024-11-29;Skatteverket;;;625,00;;625,00
;A 486;2025-06-11;abdi skatt;;;16 233,00;;16 858,00
;A 468;2025-06-27;skatt och arbetsgivare abdi;;;6 707,00;;23 565,00
;A 471;2025-06-27;SK5594895301 - Government Support (Two-step);;;;21 027,00;2 538,00
;A 760;2025-06-30;fel dupple trascthion man betala moms en gång  (korrigerad med verifikation A762 av Mohammad Sami Alsharef, 2025-10-27);;;26 668,00;;29 206,00
;A 762;2025-06-30;Korrigering av ver.nr. A760, fel dupple trascthion man betala moms en gång  (av Mohammad Sami Alsharef, 2025-10-27);;;;26 668,00;2 538,00
;A 651;2025-07-18;Arbetsformedlingen government subsidy;;;;9 119,00;-6 581,00
;A 758;2025-08-18;Betalning moms för period: April-Juni 2025 (korrigerad med verifikation A761 av Mohammad Sami Alsharef, 2025-10-27);;;;26 668,00;-33 249,00
;A 761;2025-08-18;Korrigering av ver.nr. A758, Betalning moms för period: April-Juni 2025;;;26 668,00;;-6 581,00
;;;"""Utgående saldo:""";;0,00;76 901,00;83 482,00;-6 581,00
;;;;;;;;
1910 Kassa;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 459;2025-02-26;"Purchase of co. vehicle; part-financed by Director's Loan bil GLS947";;;;15 000,00;-15 000,00
;A 463;2025-06-26;Kontant frsñljning;;;24 023,00;;9 023,00
;A 759;2025-06-30;Återbitalning till nära stånde ;;;;35 000,00;-25 977,00
;A 752;2025-09-30;Q3 2025 cash sales;;;26 271,17;;294,17
;A 947;2025-12-31;Kontantforsaljning Q4;;;43 087,75;;43 381,92
;;;"""Utgående saldo:""";;0,00;93 381,92;50 000,00;43 381,92
;;;;;;;;
1930 Företagskonto/checkkonto/affärskonto;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 597;2024-07-01;MÑnadsavgift;;;;70,00;-70,00
;A 598;2024-07-01;MÑnadsavgift;;;;70,00;-140,00
;A 599;2024-07-01;MÑnadsavgift;;;;70,00;-210,00
;A 596;2024-08-01;MÑnadsavgift;;;;70,00;-280,00
;A 595;2024-09-01;MÑnadsavgift;;;;70,00;-350,00
;A 170;2024-09-08;avgift bankintyg;;;;995,00;-1 345,00
;A 171;2024-09-17;Loan from Director to Company - Cash Flow Support;;;35 000,00;;33 655,00
;A 168;2024-10-01;BANKKOSTNADER;;;;70,00;33 585,00
;A 594;2024-10-01;MÑnadsavgift;;;;70,00;33 515,00
;A 169;2024-10-16;Loan from Director to Company - Cash Flow Support;;;120 000,00;;153 515,00
;A 48;2024-10-21;(Fastighets AB Akvarium ) Lokaldeposition;;;;120 000,00;33 515,00
;A 413;2024-10-25;Topped up balance;;;;520,00;32 995,00
;A 21;2024-10-30;FASTIGHETS AB AKVARIUM F. 5002146107;;;;18 750,00;14 245,00
;A 167;2024-11-01;BANKKOSTNADER;;;;70,00;14 175,00
;A 592;2024-11-01;MÑnadsavgift;;;;70,00;14 105,00
;A 593;2024-11-01;MÑnadsavgift;;;;70,00;14 035,00
;A 173;2024-11-13;frskring;;;;3 960,00;10 075,00
;A 174;2024-11-20;Elmontering till sträckning;;;;4 507,00;5 568,00
;A 166;2024-11-29;Skatteverket;;;;625,00;4 943,00
;A 165;2024-12-01;BANKKOSTNADER;;;;70,00;4 873,00
;A 591;2024-12-01;MÑnadsavgift;;;;70,00;4 803,00
;A 70;2024-12-03;Bolagsverket avgift;;;;1 400,00;3 403,00
;A 164;2024-12-05;Loan from Director to Company - Cash Flow Support;;;120 000,00;;123 403,00
;A 411;2024-12-09;Topped up balance;;;;124 000,00;-597,00
;A 163;2024-12-31;rnta;;;;70,74;-667,74
;A 175;2025-01-01;Månadsavgift fretagskonto;;;;70,00;-737,74
;A 409;2025-01-04;Topped up balance;;;;100,00;-837,74
;A 176;2025-01-13;Crona Software AB;;;;61,00;-898,74
;A 177;2025-01-13;Fortnox Finans AB;;;;96,00;-994,74
;A 178;2025-01-14;Fortnox Finans AB;;;;96,00;-1 090,74
;A 406;2025-01-27;Sent money to Samis Jackets AB;;;13 639,88;;12 549,14
;A 590;2025-02-01;MÑnadsavgift;;;;70,00;12 479,14
;A 404;2025-02-11;Sent money to Samis Jackets AB;;;47 065,87;;59 545,01
;A 586;2025-02-13;Repayment of Director's Loan;;;15 000,00;;74 545,01
;A 587;2025-02-13;Repayment of Director's Loan;;;15 000,00;;89 545,01
;A 588;2025-02-13;B02131637331 - Worldline kortbetalning;;;29,85;;89 574,86
;A 582;2025-02-14;ûverfring - Programvara med moms;;;;700,00;88 874,86
;A 583;2025-02-14;B02141664681 - Worldline kortbetalning;;;17,90;;88 892,76
;A 584;2025-02-14;Lokalhyra - med moms;;;;20 760,00;68 132,76
;A 585;2025-02-14;Tullavgifter;;;;36 946,00;31 186,76
;A 580;2025-02-17;B02151692210 - Worldline kortbetalning;;;895,50;;32 082,26
;A 581;2025-02-17;Repayment of Director's Loan;;;;30 000,00;2 082,26
;A 579;2025-02-24;B02241912572 - Worldline kortbetalning;;;1 492,50;;3 574,76
;A 589;2025-02-27;Loan from Director to Company - Cash Flow Support;;;7 000,00;;10 574,76
;A 577;2025-02-28;Bankgiro - Avgift med moms;;;;2 500,00;8 074,76
;A 578;2025-02-28;Bankgiro - Avgift med moms;;;;624,00;7 450,76
